Id,comment,sentiment_score,sentiment_label,key_phrases,Instruction_Clarity,Instructor_Enthusiasm,Grading_Fairness,Content_Quality,Instructor_Accessibility
45881,"Rand was a good guy, really... he was. But I felt he had an alter-ego when he left to go home and grade. His expectations and how he picked apart his students papers was simply not fair. Again, great guy but avoid this class with him!!!",3,neutral,"['rand good guy really felt alter ego left home grade', 'rand good guy really', 'rand good']",3,4,4,3,3
45881,"He is brilliant in his field, but expects his students to perform at high levels, with unrealistic expectations. Only by a miracle did I get an A, and that was after a heavy curve. He does care about his students though, as he gives lots of time in class for work, while he goes around giving tips and answering questions.",4,positive,"['brilliant field expects students perform', 'brilliant field expects students perform high', 'brilliant field expects students perform high levels unrealistic']",4,4,5,4,4
45881,He has a major in philosophy which is why all the papers you have to write are based on philosophy. As long as your paper agrees with what he thinks you will get a good grade. Otherwise the class is boring and he talks for an hour about nonsense but it is mandatory to attend otherwise your grade will drop.,3,neutral,"['write based philosophy long paper agrees thinks good grade class', 'based philosophy long paper agrees thinks good grade class', 'based philosophy long paper agrees thinks good grade class boring']",3,2,3,3,3
45881,"I thought his class was extremely hard but despite it all, I became a confident writer. People on here say 'you can only get a c on a paper' WRONG. I got an A and a B. You just have to be in it to win it. If you want to get an A, get a different teacher. If you want learn, Go for Rand. He made Eng. 110 worth something.",4,positive,"['teacher want learn rand eng 110 worth', 'different teacher want learn rand eng 110 worth', 'class extremely hard despite confident writer']",4,4,3,5,4
45881,"I recently just finished taking Comp 110 with Rand and it was the hardest class of my freshman semester. He takes it way too serious for a 100 level class. 80% of the class is papers so you would think you control the grade you get, right? Wrong.  He will tear apart your paper and give you a bad grade despite your efforts. I worked hard for a C.",2,negative,"['taking comp 110 rand hardest class', 'taking comp 110 rand hardest class freshman semester', 'taking comp 110 rand hardest class freshman']",2,2,1,2,2
45881,"Steven Rand is a nice person and really interesting to hear him speak. I am always inspired after a lecture. However, never expect to get anything higher than a C. You can think your paper is perfect but, he will tear it apart in seconds. Take a different professor if you don't want to put 9 hours of work into a paper you get an 'average' grade on.",4,positive,"['steven rand nice person really interesting hear speak inspired lecture', 'rand nice person really interesting hear speak inspired lecture expect', 'rand nice person really interesting hear speak inspired lecture']",4,4,4,5,3
45881,Hard class ,3,neutral,"['hard class', 'class', 'hard']",3,3,2,3,3
45881,He graded a 100 level class like we were all English majors in a 300 or above level class. Never got higher than a C on a paper. I went to the writing center for every paper. Very unclear in instructions and hard to approach with questions. Don't take the class from him.,1,negative,"['english majors 300 level class got higher paper', 'english majors 300 level class got higher paper went writing', 'english majors 300 level class got higher paper went']",2,1,1,1,1
45881,Tough grader on papers make sure you do your work and drafts. Participation grades save you in the long run. Dont miss class and do your work. Go to the tutor center helps alot,4,positive,"['tough grader papers make sure work drafts participation grades save', 'tough grader papers make sure work drafts participation grades', 'grader papers make sure work']",4,4,3,4,5
45881,Do not take English 110 with Rand. I don't feel any better at writing due to his confusing grading style. ,2,negative,"['english 110 rand don feel better writing confusing grading', 'english 110 rand don feel better writing confusing grading style', '110 rand don feel better writing confusing grading style']",1,2,2,2,2
45881,Bottom line Rand needs to retire before he ruins everyone's GPA's.  He thinks he knows so much about English and thinks it is his job to make essay assignments unneeded riddles.  He answers questions with questions and likes to talk trash about high school English teachers; hating on the high school teachers ironically makes it like high school. FR,2,negative,"['rand needs retire ruins gpa thinks knows english thinks job', 'rand needs retire ruins gpa thinks knows english thinks', 'rand needs retire ruins gpa thinks knows english']",2,2,2,2,2
45881,He will only give your paper a C. It does not matter if it is good or not. Work extremely hard if you plan on passing.,3,neutral,"['paper does matter good work extremely hard plan passing', 'paper does matter good work extremely hard plan', 'paper does matter good work']",3,3,2,3,3
45881,one of the worst professors at UND. Extremely hard grader and expects to much in a 100 level class. Thinks that everyone's papers should be masterpieces. No matter how long i spent on a paper i couldnt get higher than a C. Only reason i got a B in the class was because i never missed a class. ,1,negative,"['worst professors und extremely hard grader expects 100 level class', 'worst professors und extremely hard grader expects 100 level', 'worst professors und extremely hard grader expects']",1,1,1,1,1
45881,"This class is so pointless its ridiculous.  I'm in the class currently (only because its required.) The class has no relevance to anything in life.  Rand is a ****, the class is so boring. He could make the class so much better by writing papers that actually have meaning to  them instead of what some philosopher said.  Textbook reading is hard!!  ",1,negative,"['rand class boring', 'rand class boring make class better writing', 'rand class boring make class better writing papers actually meaning']",1,1,1,1,1
45881,Horrible professor. He does not believe in A's.  Thinks that other teachers grade too easily.  Answers your questions with other questions that do not help you.  Teaches you irrelevant material that you will never use again. Worst professor I have ever had.,1,negative,"['horrible professor does believe thinks teachers grade easily answers', 'horrible professor does believe thinks teachers grade easily answers questions', 'horrible professor does believe thinks teachers grade']",1,1,1,1,1
45881,"Worst professor ever. He asked me personal questions that were uncomfortable, made me feel stupid when I asked questions, and overall discouraged me. Do not take english 125 from him.",1,negative,"['worst professor asked personal questions uncomfortable', 'worst professor asked personal questions uncomfortable feel', 'worst professor asked personal questions uncomfortable feel stupid']",1,1,1,1,1
45881,"I attend his Business and Technical Writing course. Rand humiliates people for not understanding assignments when they ask. Very egotistical, rude to those who need help, very difficult work, hard grader -even on those who are following directions. I highly recommend waiting to take this class from anyone else. Not worth losing points on your GPA.",1,negative,"['technical writing course rand humiliates people understanding', 'attend business technical writing course rand humiliates people understanding', 'attend business technical writing course rand humiliates people understanding assignments']",2,1,1,1,1
45881,"He was a very hard grader, but he graded on improvement throughout the semester, not on how great of a  greater you were (I mean he obviously graded on how good of a writer you were, but it was more on how much you progressed). I learned a lot from him. I am even taking me next english class with him. Definitely take his course if you can!",4,positive,"['graded good writer progressed learned lot taking english class definitely', 'graded good writer progressed learned lot taking english class', 'obviously graded good writer progressed learned lot taking english class']",4,5,3,5,4
45881,"Professor Steven Rand is very unclear and grades very hard. If you are in his English classes, drop if you want something less than a C. He hates that 'students were graded too easy in high school' so in response to that, he likes to fail his students.",2,negative,"['professor steven rand unclear grades hard english classes drop want', 'professor steven rand unclear grades hard', 'steven rand unclear grades hard']",3,2,2,2,2
45881,"He is terrible! If you have him drop him IMMEDIATELY! He is mean, and an extremely hard grader!!!!",1,negative,"['terrible drop immediately mean extremely hard grader', 'drop immediately mean extremely hard grader', 'mean extremely hard grader']",1,1,1,1,1
45881,Awful. Horrible grading.,1,negative,"['awful horrible grading', 'horrible grading', 'grading']",1,1,1,1,1
45881,I wish I could give him a zero,1,negative,"['wish zero', 'zero', 'wish']",1,1,1,1,1
45881,Not good.,1,negative,['good'],1,1,1,1,1
45881,"This was a tough class. I expected all college classes to be like this, but since most are not it was somewhat refreshing to have a professor push me this much. If you are willing to put in the work for Mr. Rand you will reep the benefits. If not, then take this class from someone else.",4,positive,"['professor push willing work mr rand reep benefits class', 'classes like somewhat refreshing professor push willing work mr rand', 'refreshing professor push willing work mr rand reep benefits class']",4,4,3,4,4
45881,"He is a unruly professor. He grades on how he feels your ideas are. There is never a right answer, papers can ALWAYS use improvement. I would not recommend him to anyone wanting a grade over a C, even to get that you must put in an excessive amount of time into each paper.",2,negative,"['unruly professor grades feels ideas right answer papers', 'unruly professor grades feels ideas right', 'unruly professor grades feels ideas right answer']",2,2,2,2,1
45881,"He is confusing in every aspect: in lecture, in assignments and in critiquing. His assignments are mundane and never change.  I expected to explore writing and become better.  He is an impossible grader, espcially because he grades on how HE feels about your ideas, not on grammer or content.  VERY DISAPPOINTING.",2,negative,"['expected explore writing better impossible grader espcially grades feels ideas', 'expected explore writing better impossible grader espcially grades feels', 'mundane change expected explore writing better impossible grader espcially grades']",1,2,1,2,1
45881,"Worst teacher I have had at UND. Sorry I don't have a PhD in English. His grading style is way too rough for a 125 class. nobody in my class has an A. I have put in 3x more hours for this class than any other but still this class is my worst grade. If possible, avoid this teacher!",1,negative,"['worst teacher und sorry don phd english grading style', 'worst teacher und sorry don phd english grading', 'worst teacher und sorry don phd english grading style way']",1,1,1,1,1
45881,worst experience of my life. expects way too much for a 100 level course. take this class if you want to spend 15 hours on a three page paper and still get a C-. ridiculous grading policies.,1,negative,"['course class want spend 15 hours page paper ridiculous grading', 'level course class want spend 15 hours page paper ridiculous', 'class want spend 15 hours page paper ridiculous grading']",1,1,1,1,1
45881,"For as much of a waste as UNIV 101 is, he did an ok job at keeping things interesting.  Avoid UNIV 101 altogether if you can.",2,negative,"['did ok job keeping things interesting avoid univ 101 altogether', '101 did ok job keeping things interesting avoid univ 101', 'did ok job keeping things interesting avoid univ 101']",2,2,2,2,2
45881,"His expectations are high for a required 100-level class, especially since most who take it aren't English majors. To his credit, he's smart and gives good feedback. I wouldn't recommend him to a freshman.",4,positive,"['expectations high required 100 level class especially aren english majors', 'high required 100 level class especially aren english majors', 'required 100 level class especially aren english majors']",4,4,4,4,4
45881,Steven rand just a joke!! and so incrediablely socially awkward! do not take this class unless you like to fail out of college! He gives you directions for a paper but grades on whatever is on his mind that day his grading makes no sense and no one has ever gotten an A in one of his classes yet.... if you dont believe me he will tell you this.,1,negative,"['steven rand just joke incrediablely socially awkward class unless like', 'steven rand just joke incrediablely socially awkward class', 'steven rand just joke incrediablely socially awkward class unless']",1,1,1,1,1
45881,"I struggled through his class. First- he's a lawyer, so he'll lead you on making you think one thing without actually promising anything.  Second- he'll give you about 20 different instructions on one paper and he'll grade it by how he's feeling. Stupid class, I worked so hard and managed a B but he told me that I had &quot;weak writing.&quot; Avoid him!",1,negative,"['struggled class lawyer', 'struggled class lawyer ll lead making think thing', 'struggled class lawyer ll lead making']",1,1,1,1,1
45881,"Hey be nice. Yeah, he's hard to understand, and a very harsh grader, but he's a teacher and at least he's doing his job (of course, everyone including me would love easier, more comprehendable classes) just be greatful he's willing to put up with everyone's bull hoping that he helped at least one student improve in literature.",4,positive,"['comprehendable classes just greatful willing bull hoping helped student improve', 'comprehendable classes just greatful willing bull hoping helped student', 'classes just greatful willing bull hoping helped student improve literature']",5,5,3,4,5
45881,"Stevevn Rand was the absolute worst professor i have ever had.  He's without a doubt the hardest teacher you can take for any english classes.  He grades extremely hard, and not at the level of a 100 class. Also Steven Rand is the biggest &quot;Creeper&quot; he makes everyone around him feel extremely uncomfortable.",1,negative,"['stevevn rand absolute worst professor', 'stevevn rand absolute worst professor doubt hardest teacher english classes', 'stevevn rand absolute worst professor doubt hardest teacher']",1,1,1,1,1
45881,"This is the hardest 100 level class ever. It doesn't matter if you dedicate your life to this class, you still won't get an A! Take it a another semester or with a different professor. His directions are unclear. He goes against everything the book says, but tells you to use the book.  He's confusing, a hard grader, and a different guy. STAY AWAY!!",1,negative,"['hardest 100 level class', 'hardest 100 level class doesn matter', 'hardest 100 level class doesn matter dedicate life']",1,1,1,1,1
45881,"I am currently in this class.  I took this, because I was told it was supposed to be easier than 120.  I regret staying in this class with Rand as my Professor.  He is nice and pretty smart, but his grading is ridiculous.  He is the hardest grader I have ever encountered.DONT take him, if you are taking this class as a general basically. LISTEN.",2,negative,"['currently class took told supposed easier 120', 'class took told supposed easier 120', '120 regret staying class rand professor nice pretty smart grading']",2,2,1,2,2
45881,"I took 125 because I heard it was easier than 120 unless you get a certain professor. Well this is that professor. He's a nice guy but expects perfection and is out of touch with reality. The class is boring and hard, and the book is expensive. First paper was 3-4 pages, last will be 15 with each in between getting larger. Would NOT recommend him.",2,negative,"['easier 120 unless certain professor', 'took 125 heard easier 120 unless certain professor professor', 'took 125 heard easier 120 unless certain professor']",2,1,1,2,2
45881,This was by far the best learning experience I have had at UND. He is a hard grader but he helps by marking your papers with serious suggestions. I feel that many mistake his marks for personal attacks when he is only trying to bring the best out in his students. My writing skills have improved a hundred fold. I would recommend him to anyone.,5,positive,"['far best learning experience und hard grader helps marking papers', 'best learning experience und hard grader helps marking papers', 'best learning experience und hard grader helps marking papers suggestions']",5,5,4,5,5
45881,"I should have read these comments before I took this class. This was by far the worse teacher I have had! He makes you feel dumb and expects way to much for a 100 level class. Worked my butt off to get a B in the course! If you can, please switch to another teacher, you will be thankful you did!! He expects everyone is an English Major!",1,negative,"['teacher makes feel dumb expects way 100 level class', 'worse teacher makes feel dumb expects way 100 level class', 'teacher makes feel dumb expects way 100 level class worked']",1,1,1,1,1
45881,I suggest never taking him...i read the comments on here but figured it wouldnt be so bad so stayed in...wrong move...trust me..get out of the class ASAP...his instructions were never clear and he made you write the paper then changed his assignment my advice for the writers group is to just write a bunch of crap because you'll rewrite it anyway,1,negative,"['paper changed assignment advice', 'write paper changed assignment advice', 'instructions clear write paper changed assignment advice']",2,1,1,1,1
45881,No Comments,1,negative,['comments'],1,1,1,1,1
45881,"horrible teacher, i had to transfer out of state i hated this guy so much",1,negative,"['horrible teacher transfer state hated guy', 'teacher transfer state hated guy', 'horrible teacher transfer state hated']",1,1,1,1,1
45881,He was a very unfair teacher... i suggest NOT taking him!,1,negative,"['unfair teacher suggest taking', 'unfair teacher', 'unfair teacher suggest']",1,1,1,1,1
45881,IMPOSSILE!  If it is still possible to drop this class... DO IT!!  It is not possible to get above a C.  And to just get a C you have to work your butt off!,1,negative,"['impossile possible drop class possible just work butt', 'drop class possible just work butt', 'impossile possible drop class possible just work']",1,1,1,1,1
45881,"I think he is a great guy to just talk about music, and fun stuff outside of school, but he never answers questions you have, and gives like a couple B's in the class the rest...  you know...",3,neutral,"['guy just talk music fun stuff outside school answers questions', 'great guy just talk music fun stuff outside school answers', 'great guy just talk music fun stuff outside school']",3,4,3,4,2
45881,what can i say about rand....those of you who hate him so much should be lucky that you didn't have to endure his class five days a week for six weeks for an hour and a half each day....YOU SHOULD FEEL SOMEWHAT LUCKY!,4,positive,"['say rand hate lucky didn endure class days week', 'say rand hate lucky didn endure class days', 'say rand hate lucky didn endure class days week weeks']",4,4,4,4,4
45881,This man is the devil trapped in human form. It is currently 2:42am the day before this final paper and I want to gouge my eyes out. If I could give some advice to future students I would recommend dropping at the soonest possible moment and save yourself some time before drop day or prepare to spend 8 hours writing papers to get a C-.I despise him,1,negative,"['man devil trapped human form currently 42am day final paper', 'devil trapped human form currently 42am day final paper', 'devil trapped human form currently 42am day final paper want']",1,1,1,1,1
45881,Impossible to a get above a C- on anything!!! He treats you like you are an employee of a Rocket science nasa program or something......Nice guy but a lil out of touch with reality,1,negative,"['treats like employee rocket science nasa program nice guy', 'treats like employee rocket science nasa program nice guy lil', 'impossible treats like employee rocket science nasa program nice guy']",1,1,1,1,1
45881,he sucks...and he wants you to fail at life...stay away.. far away...,1,negative,"['sucks wants fail life stay away far away', 'sucks wants fail life stay away', 'sucks wants fail life stay away far']",1,1,1,1,1
45881,"It is impossible to get a good grade.  If you get a B, congradulations, i think you're a first. he is an unfair grader.  I went to the writing center when he worked and had him look at my paper, made all the changes he told me to do and still go a C.  I spent way too much time on his papers.  If you have him, get out now!!!!!!",1,negative,"['impossible good grade congradulations think unfair grader went writing', 'good grade congradulations think unfair grader went writing', 'grade congradulations think unfair grader went writing']",1,1,1,1,1
45881,Never understood what was asking for because he never told you what he really wanted you to do. He's a total ****.,1,negative,"['asking told really wanted', 'understood asking told really wanted', 'asking told really wanted total']",1,1,1,1,1
45881,impossible to get a good grade,1,negative,"['impossible good grade', 'grade', 'good grade']",1,1,1,1,1
45881,No Comments,1,negative,['comments'],1,1,1,1,1
45881,"hes pretty tough, expects too much",3,neutral,"['hes pretty tough expects', 'hes pretty tough', 'pretty tough expects']",3,3,2,3,3
45881,"He expects a lot from his students, but does take the time to get to know everyone.  I'd suggest going to the writing lab before you ask him for help..and he tends to suggest that too, or else be prepared for a lot of red ink.",3,neutral,"['going writing lab ask help tends suggest prepared', 'going writing lab ask help tends', 'going writing lab ask help tends suggest']",3,3,3,3,4
45881,this guy is hard as nails.  all he did was whup my ass when I asked for help,1,negative,"['guy hard nails did whup ass asked help', 'hard nails did whup ass asked help', 'nails did whup ass asked help']",1,1,1,1,2
45881,He sucks,1,negative,['sucks'],1,1,1,1,1
45881,He Hated me .... never taught us how to write,1,negative,"['hated taught write', 'hated taught', 'taught write']",1,1,1,1,1
45881,No Comments,1,negative,['comments'],1,1,1,1,1
45881,No Comments,1,negative,['comments'],1,1,1,1,1
45881,Rediculous teacher...kills you on stupid details,5,positive,"['rediculous teacher kills stupid details', 'rediculous teacher kills stupid', 'rediculous teacher']",5,5,5,5,5
601915,"The course is difficult, but doable. Mr. Farm will help you, but the key to this course is to use  math learning center. He is a professor that wants to see you pass so he tries to help as much as possible.",3,neutral,"['difficult doable mr farm help key course use math learning', 'mr farm help key course use math learning', 'mr farm help key course use math learning center']",3,3,3,4,4
601915,"Everyday there is a WebAssign assignment given out (very time consuming and they don't help you on the exams). The three exams he gives are extremely HARD!, all I can say is just practice ... a lot. I got a F on my first exam and had to ace the rest to get an A overall. lastly, the final will wreck you, the girl sitting next to me cried during it.",2,negative,"['everyday webassign assignment given time consuming don help exams exams', 'everyday webassign assignment given time consuming don help exams', 'exams gives extremely hard say just practice']",2,2,1,3,3
601915,"Mr. Farm is one of the nicest people you will meet. WebAssign assignments get handed out every day after class to practice problems and a quiz usually appears every day at class. Do a lot of practice questions for the 3 midterm tests. For the final he makes you understand the concepts instead of memorizing problems. Put the work in, get an A.",4,positive,"['mr farm nicest people meet webassign assignments handed day class', 'meet webassign assignments handed day class practice problems quiz usually', 'mr farm nicest people meet webassign assignments handed']",5,4,4,5,4
601915,"Tests are hard because they never matched up with notes and lectures. On the final test, we had to get a 70% on it or we didn't pass the Everything that you think is gonna be on the test, is not. Expect homework 4 days a week. Would not recommend.",2,negative,"['tests hard matched notes lectures final test 70 didn pass', 'tests hard', 'test expect homework days']",2,2,1,2,1
